Genannte Projekte und Initiativen;URL;Beschreibung;Institution
QUEST Toolbox;https://www.bihealth.org/de/forschung/quest-center/mission-ansaetze/open-science/quest-toolbox;hilft Forschenden die Reproduzierbarkeit eines Forschungsprojektes in allen Phasen zu erleichtern;BIH (QUEST Center)
Open-Science-Abzeichen;https://www.bihealth.org/de/forschung/quest-center/mission-ansaetze/open-science;monatliche Auszeichnung von Publikationen, die die Aspekte von Open Science umsetzen;BIH (QUEST Center)
Open Data Impact Award;https://www.stifterverband.org/innosci/open-data-impact-award;jährlich ausgeschriebener Preis für innovative Ideen und Sichtbarkeit von Open Science und Open Data;innOsci, Stifterverband
Open-Access-Preis der HU Berlin;https://www.ub.hu-berlin.de/de/forschen-publizieren/open-access/preis;jährlich ausgeschriebener Preis für Leistungen im Bereich des freien Zugangs zu Forschungsergebnissen;HU Berlin
Förderprogramm digitale Entwicklung im Kulturbereich;https://www.berlin.de/sen/kultur/kulturpolitik/kulturelle-teilhabe/digitalisierung/foerderprogramm-digitale-entwicklung/;Förderprogramm;Berliner Senatsverwaltung für Kultur und Europa, Abteilung Kultur
Fellow-Programm Freies Wissen;https://de.wikiversity.org/wiki/Wikiversity:Fellow-Programm_Freies_Wissen;Ziel: Förderung von freiem Wissen in Wissenschaft;Wikimedia Deutschland e.V.
Forum Offene Innovationskultur innOsci / Future Lab;https://www.stifterverband.org/innosci-future-lab;Stärkung von ""Open Ansätzen"", Entwicklung eines Policy-Innovationslabors mit dem Thema: Open Practices an Hochschulen";Stifterverband
AG Open Science;https://ag-openscience.de/;Initiative zur Unterstützung freier und offener Wissenschaft und Forschung in Wirtschaft, Gesellschaft und Politik;Open Knowledge Foundation Deutschland e.V. (OKF)
Nachweis von Open Research Software bei DepositOnce;https://www.depositonce.tu-berlin.de/;Nachweis von Open Research Software im Repositorium DepositOnce der TU Berlin;TU Berlin
Entwicklung von Open Source Software und Veröffentlichung;https://github.com/TUUB;Entwicklung von Open Source Software und Veröffentlichung in GitHub;TU Berlin
;;;
;;;
;;;
Weitere genannte Projekte, zu denen keine weiterführenden Informationen gefunden werden konnten;;;
Sustainability initiative;;;
BUA interdisciplinary lectures for students;;;
ReproducibiliTea;;;
